timestamp,model,pretrained_weights,optimizer,learning_rate,batch_size,num_epochs,weight_decay,dropout,scheduler,data_augmentation,best_val_acc,training_time_s
1774088363,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0,None,standard,0.844451,12889.72
1774170091,densenet121,IMAGENET1K_V1,SGD,0.01,64,40,0.0001,0,None,standard,0.863933,11453.29
1774184519,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0,None,cutmix,0.819002,13559.34
1774198466,densenet121,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0,None,none,0.793587,13029.42
1774263404,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.3,None,standard,0.791765,5112.25
1774277317,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.001,0,None,standard,0.756694,4989.31
1774277499,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.01,0,None,standard,0.533462,4992.19
1774282981,ghostnetv3,IMAGENET1K_V1,SGD,0.01,64,15,0.0001,0,None,standard,0.674053,4073.17
1774282694,densenet121,IMAGENET1K_V1,SGD,0.001,32,15,0.0001,0,None,standard,0.867086,5120.51
1774290736,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,standard,0.687391,6794.27
1774290980,ghostnetv3,IMAGENET1K_V1,SGD,0.1,32,15,0.0001,0,None,standard,0.56681,6622.81
1774346659,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.3,None,standard,0.687391,6359.54
1774346869,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0.5,None,standard,0.687391,6720.09
1774365812,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.001,0,None,standard,0.631028,6360.74
1774366103,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.01,0,None,standard,0.388887,6588.79
1774522111,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,none,0.6719,5866.17
1774626225,ghostnetv3,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,cutmix,0.682948,6130.98
1774626072,ghostnetv3,IMAGENET1K_V1,SGD,0.001,32,15,0.0001,0,None,standard,0.696288,6542.37
1774634170,four_block,none,SGD,0.01,32,15,0.0001,0,None,standard,0.706013,1531.72
1774636519,four_block,none,SGD,0.1,32,15,0.0001,0,None,standard,0.593691,1969.24
1774634366,densenet121,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,CosineAnnealingLR,standard,0.853115,4898.29
1774639867,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,CosineAnnealingLR,standard,0.848909,2330.3
1774639984,four_block,none,SGD,0.01,32,15,0.001,0,None,standard,0.662461,2317.97
1774642487,four_block,none,SGD,0.001,32,15,0.0001,0,None,standard,0.722077,2158.29
1774642813,four_block,none,SGD,0.01,64,15,0.0001,0,None,standard,0.725178,2018.85
1774684751,four_block,none,SGD,0.1,128,15,0.0001,0,None,standard,0.686619,1781.34
1774684806,four_block,none,SGD,0.01,32,15,0.0001,0.3,None,standard,0.693804,2357.79
1774687155,four_block,none,SGD,0.01,32,15,0.01,0,None,standard,0.367832,2003.89
1774687840,four_block,none,SGD,0.01,32,15,0.0001,0.5,None,standard,0.633684,2115.51
1774689437,four_block,none,SGD,0.01,32,15,0.0001,0,None,cutmix,0.683842,2406.22
1774690395,four_block,none,SGD,0.01,32,15,0.0001,0,None,none,0.686636,1532.74
1774111011,densenet121,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0,None,standard,0.864006,11749.9
1774112664,densenet121,IMAGENET1K_V1,SGD,0.1,32,40,0.0001,0,None,standard,0.742244,12972.62
1774207923,ghostnetv3,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0,None,standard,0.740684,7591.8
1773854727,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0,None,standard,0.831408,5046.79
1773860089,resnet18,IMAGENET1K_V1,SGD,0.01,64,40,0.0001,0,None,standard,0.833822,5147.42
1773951309,resnet18,IMAGENET1K_V1,SGD,0.1,32,40,0.0001,0,None,standard,0.74959,4597.51
1773956425,resnet18,IMAGENET1K_V1,SGD,0.001,32,40,0.0001,0,None,standard,0.837233,4560.68
1774127730,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.5,None,standard,0.829107,5190.8
1774215986,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.01,0,None,standard,0.540462,5469.76
1774114136,resnet18,IMAGENET1K_V1,SGD,0.01,128,40,0.0001,0,None,standard,0.833286,4597.16
1774123761,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.0001,0.3,None,standard,0.827784,4545.52
1774208490,resnet18,IMAGENET1K_V1,SGD,0.01,32,40,0.001,0,None,standard,0.769836,5248.91
1774296348,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,cutmix,0.79923,2315.73
1773612545,resnet18,IMAGENET1K_V1,SGD,0.01,32,15,0.0001,0,None,none,,
